Title,"Release Date",Genres,Runtime,Director,Format,Distributor
"Men In Black II",2002,"Action | Adventure | Comedy | Fantasy | Science Fiction",01:28,"Barry Sonnenfeld","4K UHD",
"Men In Black III",2012,"Action | Comedy | Science Fiction",01:46,"Barry Sonnenfeld","4K UHD",
"Men In Black III",2012,"Action | Comedy | Science Fiction",01:46,"Barry Sonnenfeld","4K UHD",
"Men In Black Trilogy",2012,"Action | Adventure | Comedy | Family | Fantasy | Mystery | Science Fiction",04:52,"Barry Sonnenfeld","4K UHD",
Midway,2019,"Action | Drama | History | War",02:18,"Roland Emmerich","4K UHD","Lion's Gate Home Entertainment"
"Miss Peregrine's Home for Peculiar Children","Jul 31, 2016","Adventure | Drama | Family | Fantasy | Science Fiction",02:07,"Tim Burton","4K UHD","20th Century Fox Home Entertainment"
"Mission: Impossible - Fallout",2018,"Action | Adventure | Thriller",02:27,"Christopher McQuarrie","4K UHD","Paramount Pictures"
"Mulholland Dr.",2001,"Drama | Mystery | Thriller",02:27,"David Lynch","4K UHD",
"The Mummy","Jan 01, 2017","Action | Adventure | Fantasy | Horror | Mystery | Science Fiction | Thriller",01:50,"Alex Kurtzman","4K UHD",
"National Lampoon's Animal House","Aug 15, 1978",Comedy,01:49,"John Landis","4K UHD",Universal
"No Time to Die","Jan 01, 2021","Action | Adventure | Thriller",02:43,"Cary Fukunaga","4K UHD","Universal Studios Home Entertainment"
"Ocean's Eight",2018,"Action | Adventure | Comedy | Crime | Thriller",01:50,"Gary Ross","4K UHD","Warner Brothers"
"Pacific Rim: Uprising","Dec 31, 2018","Action | Adventure | Science Fiction",01:51,"Steven S. DeKnight","4K UHD",Universal
Pan,2015,"Adventure | Comedy | Family | Fantasy",01:51,"Joe Wright","4K UHD",
"Pat Garrett and Billy the Kid",1973,"Biography | Drama | Western",02:02,"Sam Peckinpah","4K UHD","The Criterion Collection"
"Patriot Games",1992,"Action | Adventure | Drama | Thriller",01:57,"Phillip Noyce","4K UHD",
"Patriot Games",1992,"Action | Thriller",01:57,"Phillip Noyce","4K UHD",
"Peter Rabbit","Mar 22, 2018","Action | Adventure | Animation | Family",01:35,"Will Gluck","4K UHD","Sony Pictures"
"Pirates of the Caribbean: Dead Men Tell No Tales",2017,"Action | Adventure | Comedy | Fantasy",02:04,"Joachim Roenning | Espen Sandberg","4K UHD","Buena Vista"
"Planes, Trains & Automobiles",1987,"Comedy | Drama",01:33,"John Hughes","4K UHD",Paramount
"Point Break",2015,"Action | Crime | Drama | Sports | Thriller",01:54,"Ericson Core","4K UHD",
"The Predator","Jun 15, 2018","Action | Adventure | Comedy | Horror | Science Fiction | Thriller",01:41,"Shane Black","4K UHD",Fox
"Raging Bull",1980,"Biography | Drama | Sports",02:09,"Martin Scorsese","4K UHD",
"Ralph Breaks the Internet","Mar 07, 2018","Adventure | Animation | Comedy | Family | Fantasy | Science Fiction",01:52,"Phil Johnston | Rich Moore","4K UHD",Disney
Rampage,"Apr 20, 2018","Action | Adventure | Fantasy | Science Fiction",01:47,"Brad Peyton","4K UHD","Warner Brothers"
Ratatouille,2007,"Adventure | Animation | Comedy | Drama | Family | Fantasy",01:51,"Brad Bird | Jan Pinkava","4K UHD",
"Ready Player One","Dec 15, 2018","Action | Adventure | Science Fiction",02:20,"Steven Spielberg","4K UHD","Warner Brothers"
Red,2010,"Action | Comedy | Crime | Thriller",01:33,"Robert Schwentke","4K UHD",
"Red 2",2013,"Action | Comedy | Crime | Drama | Thriller",01:56,"Dean Parisot","4K UHD",
"Red Sparrow","Mar 01, 2018","Action | Drama | Thriller",02:20,"Francis Lawrence","4K UHD","20th Century Fox"
"Rogue One: A Star Wars Story",2016,"Action | Adventure | Science Fiction",02:13,"Gareth Edwards","4K UHD","Buena Vista Home Entertainment"
"Sausage Party",2016,"Adventure | Animation | Comedy",01:29,"Conrad Vernon | Greg Tiernan","4K UHD","Sony Pictures"
"Scott Pilgrim vs. the World",2010,"Action | Comedy | Fantasy | Romance",01:52,"Edgar Wright","4K UHD",
Shaft,1971,"Action | Crime | Thriller",01:40,"Gordon Parks","4K UHD",Criterion
"Shang-Chi and the Legend of the Ten Rings",2021,"Action | Adventure | Fantasy | Science Fiction",02:07,"Destin Daniel Cretton","4K UHD",
"The Shape of Water",2017,"Drama | Fantasy | Romance | Science Fiction",02:03,"Guillermo del Toro","4K UHD","20th Century Fox"
"Shaun of the Dead",2004,"Comedy | Horror",01:39,"Edgar Wright","4K UHD",
"The Shawshank Redemption",1994,Drama,02:22,"Frank Darabont | Frank Darabont","4K UHD","Warner Bros."
"The Shining",1980,"Drama | Horror",02:26,"Stanley Kubrick","4K UHD","Warner Home Video"
Skyscraper,2018,"Action | Drama | Thriller",01:49,"Rawson Marshall Thurber","4K UHD",Universal
"Solo: A Star Wars Story",2018,"Action | Adventure | Family | Science Fiction",02:15,"Ron Howard","4K UHD","Buena Vista Home Entertainment"
"Spider-Man: Homecoming",2017,"Action | Adventure | Comic | Documentary | Fantasy | Science Fiction",02:13,"Jon Watts","4K UHD","Sony Pictures Home Entertainment"
"Stagecoach: The Texas Jack Story",2016,Western,01:30,"Terry Miles","4K UHD",Cinedigm
"Star Trek Beyond",2016,"Action | Adventure | Fantasy | Science Fiction | Thriller",02:02,"Justin Lin","4K UHD",
"Star Trek Into Darkness",2013,"Action | Adventure | Science Fiction",02:12,"J.J. Abrams","4K UHD","Paramount Pictures"
"Star Wars: Episode I - The Phantom Menace",1999,"Action | Adventure | Fantasy | Science Fiction",02:16,"George Lucas","4K UHD",
"Star Wars: Episode II - Attack of the Clones",2002,"Action | Adventure | Fantasy | Science Fiction",02:22,"George Lucas","4K UHD",
"Star Wars: Episode III - Revenge of the Sith",2005,"Action | Adventure | Fantasy | Science Fiction",02:20,"George Lucas","4K UHD",
"Star Wars: Episode IV - A New Hope",1977,"Action | Adventure | Fantasy | Science Fiction",02:01,"George Lucas","4K UHD",
"Star Wars: Episode IX - The Rise of Skywalker","Dec 31, 2019","Action | Adventure | Fantasy | Science Fiction",02:22,"J.J. Abrams","4K UHD","Buena Vista Home Entertainment"
"Star Wars: Episode IX - The Rise of Skywalker","Dec 31, 2019","Action | Adventure | Fantasy | Science Fiction",02:22,"J.J. Abrams","4K UHD",
"Star Wars: Episode V - The Empire Strikes Back",1980,"Action | Adventure | Fantasy | Science Fiction",02:04,"Irvin Kershner","4K UHD",
"Star Wars: Episode VI - Return of the Jedi",1983,"Action | Adventure | Fantasy | Science Fiction",02:11,"Richard Marquand","4K UHD",
"Star Wars: Episode VII - The Force Awakens",2015,"Action | Adventure | Science Fiction",02:18,"J.J. Abrams","4K UHD",
"Star Wars: Episode VIII - The Last Jedi","Jan 01, 2017","Action | Adventure | Fantasy | Science Fiction",02:32,"Rian Johnson","4K UHD",
"Star Wars: Episode VIII: The Last Jedi",2017,"Action | Adventure | Fantasy | Science Fiction",02:32,"Rian Johnson","4K UHD","Buena Vista Home Entertainment"
"Starship Troopers",1997,"Action | Horror | Science Fiction | War",02:09,"Paul Verhoeven","4K UHD",
"The Sum Of All Fears",2002,"Action | Drama | Thriller",02:04,"Phil Alden Robinson","4K UHD",
"The Sum of All Fears",2002,"Action | Drama | Thriller | War",02:04,"Phil Alden Robinson","4K UHD",
"Terminator: Dark Fate",2019,"Action | Adventure | Science Fiction",02:08,"Tim Miller","4K UHD","Paramount Pictures Home Entertainment"
"Thor: Love and Thunder","Oct 28, 2022","Action | Adventure | Comedy | Fantasy | Romance | Science Fiction",01:58,"Taika Waititi","4K UHD","Buena Vista Home Entertainment"
"Tomb Raider",2018,"Action | Adventure | Drama | Fantasy | Mystery | Thriller",01:58,"Roar Uthaug","4K UHD","Warner Brothers"
"Top Gun",1986,"Action | Drama",01:50,"Tony Scott","4K UHD","Paramount Pictures Home Entertainment"
Unforgiven,1992,"Crime | Drama | Western",02:11,"Clint Eastwood","4K UHD","Warner Bros."
Unsane,"Mar 23, 2018","Drama | Horror | Thriller",01:38,"Steven Soderbergh","4K UHD",Universal
"The Untouchables",1987,"Crime | Drama | Thriller",01:59,"Brian De Palma","4K UHD",
Venom,"Oct 05, 2018","Action | Adventure | Comedy | Crime | Horror | Science Fiction | Thriller",01:52,"Ruben Fleischer","4K UHD","Columbia TriStar"
WALL·E,2008,"Adventure | Animation | Family | Science Fiction",01:38,"Andrew Stanton","4K UHD",
WALL·E,2008,"Adventure | Animation | Family | Science Fiction",01:38,"Andrew Stanton","4K UHD",
"War for the Planet of the Apes",2017,"Action | Adventure | Drama | Science Fiction | Thriller | War",02:20,"Matt Reeves","4K UHD","Twentieth Century Fox Home Entertainment"
Watchmen,2009,"Action | Adventure | Animation | Fantasy | Mystery | Science Fiction",02:42,"Zack Snyder","4K UHD",
"Westworld: Season 1",2016,"Drama | Mystery | Science Fiction | Thriller | Western",10:00,"Jonathan Nolan | Fred Toye | Stephen Williams","4K UHD",
"The World's End",2013,"Action | Comedy | Science Fiction",01:49,"Edgar Wright","4K UHD",
"Wreck-It Ralph","Nov 02, 2012","Adventure | Animation | Comedy | Family | Fantasy",01:41,"Rich Moore","4K UHD","Buena Vista Home Entertainment"
"X-Men: Dark Phoenix",2019,"Action | Adventure | Science Fiction",01:53,"Simon Kinberg","4K UHD","20th Century Fox"
"Yip Man 4","Jan 01, 2019","Action | Biography | Drama | History",01:47,"Wilson Yip","4K UHD","Well Go USA"
"Zombieland: Double Tap",2019,"Action | Comedy | Horror",01:39,"Ruben Fleischer","4K UHD",
